Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2022-4";"Dirk Fox";"Editorial";"Keep it simple? Stupid.";"2";
"2022-4";"Lutz Mänche";"Modell";"Ein Stern für Weihnachten";"4–6";"Dieses Jahr habe ich früh genug angefangen, einen langsam drehenden Stern für das Fenster mit LEDs aufzubauen. Es waren mehrere Versuche nötig, angefangen mit dem alten Schleifring, einem Getriebe und dem Gerüst. Deshalb ist das hier die Kurzform, in einer Bilderstrecke ohne viele Erklärungen."
"2022-4";"Fabian Haas";"Modell";"Von der Spiralfeder zum Kameradolly";"7–11";"Die Folgen eines Besuchs der fischertechnik-Südconvention…"
"2022-4";"Stefan Falk";"Getriebe";"Zyklisch ungleichförmig übersetzende Getriebe";"12–19";"Im Jahr 2004 überraschte der deutsche Ingenieur Wilhelm Klopmeier die Welt mit einer neuartigen Mechanik für ein einfach zu konstruierendes Getriebe, das zyklisch ungleichförmig übersetzt. 2011 ehrte er die fischertechnik-Convention mit einem Besuch, auf dem er einige Varianten davon zeigte – er hatte sie nämlich mit fischertechnik erfunden. Dieser Beitrag zeigt ein äußerst einfach zu bauendes Getriebe mit ähnlichen Eigenschaften."
"2022-4";"Konrad Fox, Dirk Fox";"Hydraulik (Mechanik)";"Schlauchpumpe";"20–24";"Wasser spielt im fischertechnik-Universum eine Nebenrolle – vielleicht, weil ein Spielzeughersteller nicht gern für geflutete Kinderzimmer verantwortlich sein möchte. Immerhin: Schlauchpumpen zählen seit 1973 zur Modellsammlung [1]. Dank neuer Bauteile sind heute zuverlässigere und leistungsfähigere Varianten möglich als vor bald 50 Jahren."
"2022-4";"Arnoud van Delden";"Mechanik";"Logikgatter – elektronisch und mechanisch";"25–37";"Die logischen UND- und ODER-Gatter sind wahre „Pioniere“ der digitalen Logik: Schließlich bildet die „Hardware-Programmierung“ mit Kabeln und Verbindungen immer noch die Grundlage aller Steuerungen, die heute zunehmend in Software verwirklicht werden können. Der Beitrag erläutert die logischen Funktionen und elektronischen Grundlagen der beiden fischertechnik-„Silberlinge“ mit logischen Gattern. Ihre Funktionalität ist mathematisch austauschbar, was mit mechanischen Äquivalenten der Gatter demonstriert wird."
"2022-4";"Rüdiger Riedel, Stefan Falk";"Physik";"Kettenrätsel";"38–40";"Kettenfontänen und Kettenfünfecke – manchmal versucht man das Eine und findet das Andere."
"2022-4";"Tilo Rust";"Modell";"Großprojekt Seilbahn (Teil 6): Reifenförderer";"41–51";"Diese Serie begleitet das Großprojekt „Kuppelbare Einseilumlaufbahn (10-MGD)“ im Fördertechnik-Museum Sinsheim von Anfang bis zur Fertigstellung und Ausstellung auf der BUGA 2023 [1] in Mannheim. In diesem Teil dreht sich alles um das Detail der Reifenförderer, jenem zentralen Mechanismus, der die Gondeln innerhalb der Station auf den Schienen fortbewegt. Und es dreht sich um ein wunderbares Lehrstück zum Thema Scheitern und Neubauen."
"2022-4";"Florian Bauer";"Optik";"Optische Datenübertragung mit fischertechnik";"52–65";"Am Anfang stand die Idee, einen rotierenden Entfernungsmesser optisch auszulesen, um ohne Schleifringe auszukommen. Ein erster Schritt dafür wird in diesem Beitrag vorgestellt: Eine bidirektionale optische Datenübertragung für I²C-Signale mit fischertechnik. Wie sich zeigt, ist fischertechnik dazu geeignet, prototypische optische Aufbauten zu realisieren. Durch die Wahl von mehrfarbigen LEDs wird auch visuell etwas geboten."
"2022-4";"Hans-Christian Funke";"Elektronik";"Elektronikmodule (Teil 9): Direkter Vergleich von Multifunktionsmodul und Grundbaustein";"66–73";"In Teil 8 meiner Beitragsreihe habe ich beim Vergleich zwischen Silberlingen und Elektronikmodulen festgestellt, dass speziell beim Multifunktionsmodul und dem Grundbaustein der reine Vergleich der Ein- und Ausgänge in der Praxis nicht wirklich weiterhilft. Vielmehr wären reale Beispiele aus Modellen oder Schaltungen nützlich, um die Umsetzung und die Unterschiede zu verstehen und nachzuvollziehen. Dieser Erkenntnis soll mit diesem Beitrag Rechnung getragen werden."
